Name: Wafa Waheeda Syed
Name: Haya Al-Thani
ID: ww1402824

ID: 200662244

Linux Scheduler Simulator (1000 tasks)

Number of CPUs entered by user to simulate: 4 
the percentage of RT tasks to simulate: 50 
the percentage of NRT tasks to simulate: 50 
Time                     Task ID                  CPU Number                
19237                    172                      0                         
19723                    386                      2                         
19783                    395                      3                         
20013                    393                      1                         
20126                    398                      2                         
20206                    400                      0                         
20222                    351                      3                         
20617                    418                      2                         
20808                    371                      3                         
20882                    417                      1                         
20932                    388                      0                         
20977                    430                      2                         
21400                    27                       3                         
21551                    389                      1                         
21767                    426                      2                         
21778                    433                      1                         
21843                    283                      3                         
21886                    412                      0                         
22285                    365                      1                         
22407                    456                      0                         
22470                    450                      2                         
22872                    409                      1                         
22885                    451                      3                         
22999                    476                      0                         
23278                    478                      2                         
23468                    454                      2                         
23470                    471                      3                         
23575                    217                      1                         
23763                    485                      1                         
23968                    488                      0                         
23980                    459                      3                         
24004                    265                      1                         
24245                    341                      1                         
24322                    490                      2                         
24610                    469                      0                         
24661                    501                      1                         
24754                    507                      3                         
24919                    524                      0                         
25015                    499                      3                         
25159                    472                      0                         
25197                    535                      3                         
25300                    525                      1                         
25356                    506                      2                         
25594                    540                      0                         
25691                    518                      2                         
25848                    543                      3                         
25902                    508                      0                         
25970                    357                      1                         
26361                    561                      1                         
26581                    528                      0                         
26594                    554                      2                         
26625                    565                      1                         
26874                    463                      3                         
26932                    560                      0                         
26967                    509                      1                         
27168                    568                      0                         
27174                    579                      3                         
27437                    470                      2                         
27545                    587                      3                         
27783                    253                      1                         
27823                    572                      0                         
27965                    475                      3                         
28183                    601                      1                         
28441                    582                      2                         
28603                    467                      3                         
28606                    413                      1                         
28847                    604                      0                         
28860                    606                      2                         
28989                    616                      0                         
29131                    632                      0                         
29388                    602                      2                         
29467                    617                      1                         
29597                    619                      3                         
29685                    636                      0                         
29699                    627                      3                         
30084                    634                      2                         
30113                    397                      1                         
30207                    448                      0                         
30394                    646                      3                         
30467                    653                      1                         
30776                    659                      0                         
30991                    649                      1                         
31122                    595                      3                         
31171                    658                      2                         
31182                    668                      0                         
31257                    329                      1                         
31469                    548                      0                         
31878                    675                      3                         
31987                    690                      2                         
32174                    693                      1                         
32406                    642                      2                         
32420                    695                      3                         
32482                    696                      0                         
32533                    662                      2                         
32570                    699                      3                         
32742                    713                      0                         
32954                    701                      1                         
33309                    729                      1                         
33376                    720                      0                         
33397                    710                      2                         
33456                    719                      3                         
33593                    727                      3                         
33608                    706                      2                         
33735                    709                      1                         
33933                    732                      0                         
33938                    666                      2                         
34325                    728                      0                         
34392                    705                      1                         
34430                    603                      3                         
34970                    756                      0                         
35000                    746                      2                         
35150                    605                      1                         
35247                    747                      3                         
35600                    773                      1                         
35790                    766                      2                         
35827                    764                      0                         
35905                    771                      3                         
36036                    655                      3                         
36212                    777                      1                         
36481                    780                      0                         
36481                    754                      2                         
36506                    575                      3                         
37103                    647                      2                         
37147                    785                      1                         
37157                    799                      3                         
37365                    800                      0                         
37539                    708                      0                         
37644                    818                      2                         
37845                    698                      2                         
37874                    808                      3                         
38112                    817                      1                         
38274                    828                      0                         
38342                    680                      3                         
38522                    834                      2                         
38593                    792                      0                         
38713                    805                      1                         
38834                    849                      1                         
38918                    842                      2                         
38940                    847                      3                         
38982                    856                      0                         
39432                    859                      3                         
39773                    793                      1                         
39912                    852                      0                         
39942                    570                      2                         
40282                    873                      0                         
40485                    872                      1                         
40501                    867                      3                         
40800                    891                      3                         
40966                    886                      2                         
40981                    857                      1                         
41134                    888                      0                         
41169                    853                      1                         
41337                    894                      2                         
41561                    703                      3                         
41609                    897                      1                         
41867                    898                      2                         
41956                    845                      1                         
42059                    844                      0                         
42164                    915                      3                         
42240                    881                      1                         
42277                    906                      2                         
42414                    811                      3                         
42418                    924                      0                         
42530                    937                      1                         
42645                    935                      3                         
42907                    879                      3                         
42959                    922                      2                         
43235                    829                      1                         
43280                    920                      0                         
43299                    491                      3                         
43793                    944                      0                         
43946                    949                      1                         
43988                    934                      2                         
44025                    671                      3                         
44115                    962                      2                         
44287                    901                      1                         
44405                    902                      2                         
44469                    868                      0                         
44585                    910                      2                         
45039                    753                      1                         
45089                    959                      3                         
45176                    914                      2                         
45394                    716                      0                         
45769                    593                      1                         
45777                    882                      2                         
46084                    439                      3                         
46110                    848                      0                         
46343                    850                      2                         
46364                    961                      1                         
46613                    760                      0                         
47151                    539                      3                         
47276                    458                      2                         
47297                    597                      1                         
47493                    686                      2                         
47564                    900                      0                         
47723                    865                      1                         
47794                    832                      0                         
47892                    623                      3                         
48026                    531                      3                         
48134                    812                      0                         
48162                    493                      2                         
48189                    445                      1                         
48269                    887                      3                         
48863                    534                      2                         
48939                    464                      0                         
49213                    957                      1                         
49217                    631                      3                         
49403                    256                      0                         
49414                    402                      2                         
49742                    127                      3                         
50145                    465                      1                         
50170                    629                      2                         
50499                    916                      0                         
50539                    423                      3                         
50660                    99                       3                         
50833                    438                      2                         
50947                    674                      2                         
51204                    633                      1                         
51237                    955                      3                         
51293                    956                      0                         
51491                    697                      1                         
51871                    626                      2                         
52052                    207                      3                         
52218                    596                      0                         
52258                    929                      1                         
52298                    726                      2                         
52371                    521                      1                         
52806                    558                      2                         
52828                    335                      3                         
53055                    804                      0                         
53195                    549                      1                         
53502                    864                      0                         
53582                    510                      2                         
53621                    36                       0                         
53789                    591                      3                         
53802                    677                      1                         
54019                    795                      3                         
54083                    514                      2                         
54091                    340                      0                         
54365                    921                      1                         
54368                    656                      0                         
54631                    586                      2                         
54644                    373                      1                         
54728                    739                      3                         
54763                    768                      0                         
54902                    791                      3                         
55046                    443                      3                         
55087                    85                       0                         
55182                    638                      2                         
55286                    953                      1                         
55438                    820                      0                         
55865                    137                      1                         
56055                    449                      1                         
56057                    880                      0                         
56076                    650                      2                         
56142                    895                      3                         
56256                    487                      3                         
56295                    749                      1                         
56548                    300                      0                         
56553                    498                      2                         
56772                    515                      3                         
57282                    441                      1                         
57389                    870                      2                         
57569                    759                      3                         
57587                    836                      0                         
57705                    523                      3                         
57810                    673                      1                         
57851                    527                      2                         
58088                    594                      2                         
58096                    661                      1                         
58582                    370                      2                         
58587                    120                      0                         
58699                    725                      1                         
58707                    583                      3                         
58944                    344                      0                         
58996                    622                      2                         
59459                    905                      1                         
59676                    774                      2                         
59695                    912                      0                         
59696                    893                      1                         
59802                    823                      3                         
60366                    25                       1                         
60512                    546                      2                         
60529                    135                      3                         
60556                    252                      0                         
60717                    303                      3                         
60809                    291                      0                         
60952                    197                      1                         
61027                    79                       3                         
61063                    264                      0                         
61063                    750                      2                         
61180                    496                      0                         
61480                    786                      2                         
61563                    497                      1                         
61863                    228                      0                         
61911                    479                      3                         
61938                    130                      2                         
62360                    948                      0                         
62525                    161                      1                         
62529                    840                      0                         
62605                    502                      2                         
62683                    903                      3                         
63033                    610                      2                         
63054                    660                      3                         
63308                    936                      0                         
63540                    309                      1                         
64049                    822                      2                         
64094                    755                      3                         
64216                    20                       0                         
64291                    714                      2                         
64308                    211                      3                         
64336                    401                      1                         
64581                    90                       2                         
64715                    788                      0                         
64944                    342                      2                         
65075                    263                      3                         
65215                    801                      1                         
65608                    835                      3                         
65672                    216                      0                         
65715                    457                      1                         
65738                    890                      2                         
66080                    667                      3                         
66230                    672                      0                         
66264                    326                      2                         
66363                    481                      1                         
66674                    751                      3                         
67184                    522                      2                         
67202                    484                      0                         
67294                    919                      3                         
67412                    669                      1                         
67785                    620                      0                         
68064                    338                      2                         
68200                    665                      1                         
68234                    411                      3                         
68424                    640                      0                         
68609                    909                      1                         
68680                    131                      3                         
68757                    246                      2                         
69004                    296                      0                         
69099                    153                      1                         
69143                    151                      3                         
69597                    866                      2                         
69884                    477                      1                         
69946                    679                      0                         
70023                    407                      3                         
70379                    567                      3                         
70397                    258                      2                         
70612                    140                      0                         
70784                    17                       1                         
71026                    268                      0                         
71197                    358                      2                         
71217                    943                      3                         
71398                    376                      0                         
71552                    73                       1                         
71798                    392                      0                         
71917                    858                      2                         
71994                    189                      1                         
72052                    243                      3                         
72490                    889                      1                         
72636                    105                      1                         
72697                    62                       2                         
72750                    576                      0                         
72852                    187                      3                         
73071                    138                      2                         
73189                    724                      0                         
73334                    324                      0                         
73375                    185                      1                         
73562                    319                      3                         
73705                    736                      0                         
73736                    803                      3                         
73851                    446                      2                         
74175                    613                      1                         
74496                    963                      3                         
74623                    52                       0                         
74631                    538                      2                         
74883                    311                      3                         
74935                    57                       1                         
75179                    562                      2                         
75623                    415                      3                         
75663                    404                      0                         
75695                    969                      1                         
75778                    611                      3                         
75939                    194                      2                         
76129                    552                      0                         
76317                    763                      3                         
76435                    113                      1                         
76584                    136                      0                         
76699                    286                      2                         
77037                    199                      3                         
77052                    261                      1                         
77419                    272                      0                         
77459                    318                      2                         
77491                    349                      1                         
77644                    108                      0                         
77757                    279                      3                         
77946                    682                      2                         
78211                    573                      1                         
78446                    599                      3                         
78504                    384                      0                         
78706                    778                      2                         
78931                    741                      1                         
78999                    810                      2                         
79166                    723                      3                         
79325                    432                      0                         
79575                    757                      1                         
79605                    512                      0                         
79759                    826                      2                         
79764                    337                      1                         
79866                    95                       3                         
79891                    926                      2                         
80091                    684                      0                         
80224                    833                      1                         
80367                    551                      3                         
80395                    50                       2                         
80576                    88                       0                         
80884                    117                      1                         
81047                    702                      2                         
81047                    503                      3                         
81241                    396                      0                         
81468                    500                      0                         
81538                    537                      1                         
81597                    526                      3                         
81767                    118                      2                         
81811                    615                      3                         
82059                    578                      1                         
82226                    987                      3                         
82268                    564                      0                         
82277                    789                      1                         
82304                    330                      2                         
82702                    676                      0                         
82759                    139                      3                         
82794                    685                      1                         
82885                    908                      0                         
82938                    422                      2                         
83008                    492                      0                         
83014                    555                      3                         
83192                    809                      1                         
83428                    146                      3                         
83480                    109                      1                         
83658                    742                      2                         
83712                    425                      1                         
83749                    544                      0                         
84006                    480                      0                         
84048                    639                      3                         
84102                    133                      1                         
84172                    838                      2                         
84400                    794                      2                         
84648                    183                      3                         
84702                    317                      1                         
84766                    752                      0                         
84834                    227                      3                         
85100                    958                      2                         
85154                    299                      3                         
85260                    461                      1                         
85509                    807                      0                         
85754                    399                      3                         
85780                    758                      2                         
85860                    581                      1                         
85976                    892                      0                         
86035                    979                      3                         
86401                    248                      0                         
86425                    765                      1                         
86456                    854                      2                         
86615                    43                       3                         
87025                    837                      1                         
87116                    806                      2                         
87140                    928                      0                         
87195                    511                      3                         
87279                    986                      2                         
87282                    992                      0                         
87434                    782                      2                         
87452                    989                      1                         
87495                    563                      3                         
87706                    78                       2                         
87911                    166                      2                         
88002                    584                      0                         
88032                    21                       1                         
88075                    831                      3                         
88203                    69                       1                         
88492                    442                      2                         
88645                    860                      0                         
88655                    951                      3                         
88673                    965                      1                         
88820                    971                      3                         
88960                    644                      0                         
89053                    977                      1                         
89112                    802                      2                         
89400                    991                      3                         
89430                    12                       0                         
89571                    77                       1                         
89683                    874                      2                         
89868                    23                       3                         
90033                    184                      0                         
90131                    505                      1                         
90230                    236                      0                         
90283                    230                      2                         
90428                    107                      3                         
90458                    460                      0                         
90616                    8                        0                         
90671                    405                      1                         
90824                    621                      1                         
90883                    278                      2                         
90988                    327                      3                         
91256                    368                      0                         
91332                    362                      2                         
91344                    473                      1                         
91534                    545                      1                         
91548                    715                      3                         
91663                    618                      2                         
91896                    520                      0                         
92054                    933                      1                         
92092                    974                      2                         
92108                    899                      3                         
92193                    269                      1                         
92516                    612                      0                         
92648                    203                      3                         
92672                    82                       2                         
92693                    769                      1                         
93100                    178                      2                         
93136                    940                      0                         
93173                    93                       1                         
93188                    391                      3                         
93334                    372                      0                         
93653                    429                      1                         
93680                    482                      2                         
93728                    547                      3                         
93769                    424                      0                         
93860                    533                      1                         
94098                    781                      1                         
94240                    346                      2                         
94268                    939                      3                         
94369                    772                      0                         
94481                    797                      1                         
94788                    167                      3                         
94800                    734                      2                         
94838                    993                      1                         
94918                    171                      3                         
94949                    624                      0                         
95110                    257                      1                         
95350                    80                       0                         
95360                    790                      2                         
95438                    267                      3                         
95570                    913                      1                         
95910                    336                      0                         
95920                    798                      2                         
95958                    383                      3                         
96010                    421                      1                         
96450                    657                      1                         
96450                    72                       0                         
96478                    483                      3                         
96480                    878                      2                         
96597                    998                      2                         
96828                    815                      3                         
96890                    813                      1                         
96926                    440                      0                         
96945                    102                      2                         
97214                    209                      1                         
97343                    871                      3                         
97401                    241                      1                         
97423                    210                      2                         
97438                    600                      0                         
97689                    116                      0                         
97821                    489                      1                         
97843                    119                      3                         
97921                    41                       1                         
97963                    234                      2                         
98021                    353                      1                         
98101                    743                      3                         
98121                    377                      1                         
98164                    168                      0                         
98221                    745                      1                         
98228                    923                      3                         
98316                    277                      1                         
98411                    761                      1                         
98503                    366                      2                         
98506                    861                      1                         
98594                    352                      0                         
98596                    333                      1                         
98686                    630                      1                         
98708                    91                       3                         
98776                    689                      1                         
98866                    717                      1                         
98951                    177                      1                         
99036                    305                      1                         
99043                    566                      2                         
99105                    223                      3                         
99114                    416                      0                         
99121                    313                      1                         
99206                    589                      1                         
99291                    877                      1                         
99376                    981                      1                         
99456                    381                      1                         
99495                    694                      2                         
99536                    557                      1                         
99585                    911                      3                         
99616                    733                      1                         
99634                    628                      0                         
99691                    625                      1                         
99761                    225                      1                         
99831                    325                      1                         
99901                    553                      1                         
99921                    748                      0                         
99971                    641                      1                         
100035                   722                      2                         
100041                   712                      1                         
100045                   239                      3                         
100111                   737                      1                         
100176                   201                      1                         
100241                   494                      1                         
100301                   45                       1                         
100361                   121                      1                         
100421                   869                      1                         
100421                   428                      0                         
100457                   331                      3                         
100481                   945                      1                         
100541                   997                      1                         
100555                   70                       2                         
100596                   237                      1                         
100630                   688                      0                         
100651                   645                      1                         
100706                   721                      1                         
100761                   941                      1                         
100811                   517                      1                         
100848                   975                      3                         
100856                   301                      1                         
100901                   529                      1                         
100946                   609                      1                         
100989                   250                      2                         
100991                   821                      1                         
101031                   468                      1                         
101071                   637                      1                         
101110                   32                       0                         
101111                   885                      1                         
101151                   973                      1                         
101191                   985                      1                         
101226                   385                      1                         
101261                   541                      1                         
101288                   115                      3                         
101296                   585                      1                         
101309                   486                      2                         
101321                   437                      1                         
101346                   569                      1                         
101371                   925                      1                         
101391                   53                       1                         
101411                   513                      1                         
101431                   825                      1                         
101446                   917                      1                         
101456                   145                      1                         
101466                   149                      1                         
101476                   169                      1                         
101486                   273                      1                         
101496                   281                      1                         
101506                   369                      1                         
101516                   453                      1                         
101521                   81                       1                         
101526                   293                      1                         
101531                   681                      1                         
101536                   841                      1                         
101575                   44                       0                         
101590                   218                      2                         
101593                   17                       1                         
101728                   379                      3                         
101746                   613                      1                         
101872                   57                       1                         
101881                   762                      2                         
101963                   969                      1                         
102020                   113                      1                         
102055                   816                      0                         
102148                   687                      3                         
102296                   573                      1                         
102336                   741                      1                         
102361                   206                      2                         
102468                   117                      1                         
102535                   884                      0                         
102566                   530                      2                         
102568                   775                      3                         
102668                   435                      3                         
102768                   931                      3                         
102821                   317                      1                         
102863                   71                       3                         
102958                   403                      3                         
102975                   796                      0                         
103026                   254                      2                         
103053                   707                      3                         
103093                   581                      1                         
103148                   735                      3                         
103243                   839                      3                         
103287                   837                      1                         
103333                   295                      3                         
103391                   21                       1                         
103395                   56                       0                         
103423                   427                      3                         
103486                   466                      2                         
103513                   519                      3                         
103603                   843                      3                         
103650                   505                      1                         
103688                   143                      3                         
103733                   730                      2                         
103773                   431                      3                         
103815                   580                      0                         
103830                   405                      1                         
103858                   967                      3                         
103938                   307                      3                         
104018                   711                      3                         
104098                   875                      3                         
104173                   455                      3                         
104173                   202                      2                         
104235                   776                      0                         
104248                   827                      3                         
104318                   255                      3                         
104350                   846                      2                         
104388                   339                      3                         
104393                   473                      1                         
104458                   363                      3                         
104528                   387                      3                         
104598                   607                      3                         
104655                   824                      0                         
104668                   691                      3                         
104687                   142                      2                         
104738                   851                      3                         
104755                   156                      0                         
104803                   651                      3                         
104855                   328                      0                         
104868                   787                      3                         
104911                   933                      1                         
104928                   83                       3                         
104955                   408                      0                         
104988                   292                      3                         
105048                   375                      3                         
105055                   420                      0                         
105107                   282                      2                         
105108                   927                      3                         
105150                   181                      0                         
105168                   983                      3                         
105218                   19                       3                         
105245                   356                      0                         
105268                   235                      3                         
105308                   769                      1                         
105318                   683                      3                         
105340                   744                      0                         
105368                   767                      3                         
105413                   155                      3                         
105435                   904                      0                         
105458                   260                      3                         
105503                   343                      3                         
105527                   302                      2                         
105530                   968                      0                         
105548                   819                      3                         
105588                   731                      3                         
105625                   984                      0                         
105628                   863                      3                         
105668                   883                      3                         
105697                   93                       1                         
105703                   271                      3                         
105715                   152                      0                         
105733                   855                      3                         
105758                   31                       3                         
105783                   39                       3                         
105805                   516                      0                         
105808                   355                      3                         
105833                   559                      3                         
105858                   635                      3                         
105883                   643                      3                         
105890                   60                       0                         
105908                   907                      3                         
105933                   947                      3                         
105947                   322                      2                         
105958                   999                      3                         
105975                   212                      0                         
105978                   179                      3                         
105998                   419                      3                         
106018                   779                      3                         
106033                   47                       3                         
106047                   978                      2                         
106048                   251                      3                         
106058                   447                      3                         
106060                   436                      0                         
106068                   783                      3                         
106078                   995                      3                         
106083                   163                      3                         
106083                   429                      1                         
106088                   315                      3                         
106093                   495                      3                         
106093                   913                      1                         
106098                   571                      3                         
106103                   663                      3                         
106107                   755                      3                         
106124                   421                      1                         
106137                   26                       2                         
106145                   964                      0                         
106147                   411                      3                         
106225                   360                      0                         
106227                   350                      2                         
106292                   657                      1                         
106305                   648                      0                         
106309                   407                      3                         
106317                   394                      2                         
106385                   960                      0                         
106398                   813                      1                         
106407                   718                      2                         
106460                   608                      0                         
106492                   474                      2                         
106530                   380                      0                         
106577                   954                      2                         
106590                   187                      3                         
106600                   556                      0                         
106657                   34                       2                         
106670                   692                      0                         
106737                   122                      2                         
106740                   952                      0                         
106761                   963                      3                         
106802                   415                      3                         
106805                   224                      0                         
106817                   577                      2                         
106870                   444                      0                         
106897                   614                      2                         
106918                   489                      1                         
106935                   740                      0                         
106977                   862                      2                         
107000                   876                      0                         
107030                   199                      3                         
107052                   414                      2                         
107065                   996                      0                         
107125                   588                      0                         
107127                   590                      2                         
107185                   784                      0                         
107197                   574                      2                         
107240                   320                      0                         
107267                   966                      2                         
107268                   41                       1                         
107295                   652                      0                         
107337                   990                      2                         
107345                   68                       0                         
107364                   279                      3                         
107395                   304                      0                         
107402                   723                      3                         
107402                   58                       2                         
107440                   164                      0                         
107467                   310                      2                         
107485                   364                      0                         
107530                   592                      0                         
107532                   462                      2                         
107575                   700                      0                         
107597                   670                      2                         
107620                   704                      0                         
107660                   220                      0                         
107662                   970                      2                         
107686                   95                       3                         
107700                   240                      0                         
107722                   406                      2                         
107740                   288                      0                         
107768                   353                      1                         
107780                   348                      0                         
107782                   542                      2                         
107820                   532                      0                         
107837                   126                      2                         
107860                   980                      0                         
107873                   503                      3                         
107890                   988                      0                         
107892                   770                      2                         
107915                   316                      0                         
107927                   377                      1                         
107935                   76                       0                         
107947                   814                      2                         
107950                   144                      0                         
107965                   504                      0                         
107980                   972                      0                         
107990                   276                      0                         
107997                   270                      2                         
108000                   452                      0                         
108010                   536                      0                         
108020                   664                      0                         
108030                   896                      0                         
108040                   932                      0                         
108045                   280                      0                         
108047                   598                      2                         
108050                   976                      0                         
108091                   404                      0                         
108097                   654                      2                         
108147                   938                      2                         
108192                   298                      2                         
108227                   106                      2                         
108228                   384                      0                         
108257                   639                      3                         
108262                   134                      2                         
108297                   182                      2                         
108332                   274                      2                         
108362                   564                      0                         
108367                   382                      2                         
108402                   390                      2                         
108427                   745                      1                         
108437                   410                      2                         
108467                   550                      2                         
108497                   982                      2                         
108522                   942                      2                         
108542                   738                      2                         
108562                   918                      2                         
108572                   277                      1                         
108582                   946                      2                         
108597                   30                       2                         
108608                   183                      3                         
108612                   154                      2                         
108627                   186                      2                         
108642                   678                      2                         
108642                   399                      3                         
108655                   752                      0                         
108657                   950                      2                         
108672                   994                      2                         
108682                   238                      2                         
108692                   434                      2                         
108702                   930                      2                         
108707                   10                       2                         
108712                   150                      2                         
108717                   222                      2                         
108722                   334                      2                         
108727                   830                      2                         
108897                   522                      2                         
108929                   338                      2                         
108981                   584                      0                         
109018                   43                       3                         
109022                   368                      0                         
109026                   866                      2                         
109031                   520                      0                         
109052                   761                      1                         
109100                   612                      0                         
109101                   511                      3                         
109116                   940                      0                         
109126                   772                      0                         
109154                   258                      2                         
109212                   831                      3                         
109255                   358                      2                         
109284                   624                      0                         
109317                   951                      3                         
109354                   107                      3                         
109385                   62                       2                         
109400                   327                      3                         
109447                   446                      2                         
109532                   861                      1                         
109559                   715                      3                         
109694                   538                      2                         
109748                   194                      2                         
109749                   336                      0                         
109945                   899                      3                         
109956                   286                      2                         
109992                   333                      1                         
110098                   318                      2                         
110208                   203                      3                         
110305                   72                       0                         
110407                   778                      2                         
110452                   630                      1                         
110492                   689                      1                         
110544                   391                      3                         
110604                   826                      2                         
110613                   118                      2                         
110828                   742                      2                         
110830                   547                      3                         
110862                   717                      1                         
110862                   416                      0                         
110933                   628                      0                         
110955                   958                      2                         
111030                   758                      2                         
111141                   939                      3                         
111302                   177                      1                         
111347                   305                      1                         
111413                   806                      2                         
111432                   167                      3                         
111501                   313                      1                         
111501                   428                      0                         
111772                   267                      3                         
111884                   802                      2                         
111912                   383                      3                         
111941                   589                      1                         
112048                   32                       0                         
112135                   816                      0                         
112223                   230                      2                         
112362                   884                      0                         
112381                   877                      1                         
112448                   483                      3                         
112476                   981                      1                         
112477                   119                      3                         
112499                   381                      1                         
112586                   557                      1                         
112678                   91                       3                         
112683                   796                      0                         
112713                   278                      2                         
112953                   56                       0                         
112953                   733                      1                         
113053                   625                      1                         
113137                   82                       2                         
113148                   225                      1                         
113230                   911                      3                         
113243                   325                      1                         
113320                   553                      1                         
113391                   580                      0                         
113415                   641                      1                         
113480                   239                      3                         
113497                   482                      2                         
113510                   712                      1                         
113577                   346                      2                         
113605                   737                      1                         
113695                   201                      1                         
113785                   494                      1                         
113821                   115                      3                         
113834                   776                      0                         
113870                   45                       1                         
113955                   121                      1                         
113978                   734                      2                         
113987                   824                      0                         
114040                   869                      1                         
114125                   945                      1                         
114210                   997                      1                         
114290                   237                      1                         
114361                   379                      3                         
114370                   645                      1                         
114450                   721                      1                         
114474                   790                      2                         
114487                   0                        0                         
114507                   687                      3                         
114508                   156                      0                         
114530                   941                      1                         
114605                   517                      1                         
114675                   301                      1                         
114745                   529                      1                         
114815                   609                      1                         
114885                   821                      1                         
114950                   468                      1                         
114958                   798                      2                         
115008                   328                      0                         
115015                   637                      1                         
115018                   775                      3                         
115070                   878                      2                         
115080                   885                      1                         
115145                   973                      1                         
115200                   234                      2                         
115210                   985                      1                         
115270                   385                      1                         
115330                   541                      1                         
115390                   585                      1                         
115440                   437                      1                         
115474                   408                      0                         
115490                   569                      1                         
115518                   435                      3                         
115540                   925                      1                         
115585                   53                       1                         
115630                   513                      1                         
115675                   825                      1                         
115679                   366                      2                         
115715                   917                      1                         
115750                   145                      1                         
115785                   149                      1                         
115820                   169                      1                         
115855                   273                      1                         
115890                   281                      1                         
115913                   420                      0                         
115925                   369                      1                         
115960                   453                      1                         
115990                   81                       1                         
116018                   931                      3                         
116020                   293                      1                         
116050                   681                      1                         
116080                   841                      1                         
116090                   5                        1                         
116134                   489                      1                         
116186                   71                       3                         
116194                   566                      2                         
116205                   722                      2                         
116228                   403                      3                         
116391                   353                      1                         
116393                   181                      0                         
116433                   745                      1                         
116708                   707                      3                         
116715                   70                       2                         
116850                   761                      1                         
116873                   356                      0                         
116966                   744                      0                         
117033                   206                      2                         
117081                   735                      3                         
117155                   254                      2                         
117325                   861                      1                         
117446                   904                      0                         
117561                   839                      3                         
117602                   466                      2                         
117605                   968                      0                         
117620                   333                      1                         
117851                   295                      3                         
117908                   630                      1                         
118038                   202                      2                         
118085                   984                      0                         
118174                   177                      1                         
118210                   427                      3                         
118211                   589                      1                         
118545                   152                      0                         
118558                   282                      2                         
118638                   877                      1                         
118667                   519                      3                         
118805                   625                      1                         
118981                   302                      2                         
119005                   516                      0                         
119122                   225                      1                         
119127                   843                      3                         
119266                   322                      2                         
119445                   60                       0                         
119527                   212                      0                         
119567                   143                      3                         
119602                   325                      1                         
119694                   978                      2                         
119786                   431                      3                         
119809                   641                      1                         
119967                   436                      0                         
120105                   967                      3                         
120124                   712                      1                         
120154                   26                       2                         
